epoch,accuracy,loss,val_accuracy,val_loss
0,0.8676610589027405,0.4530365467071533,0.49135783314704895,1.8875515460968018
1,0.9448187351226807,0.1707303375005722,0.9943131804466248,0.028977330774068832
2,0.9948969483375549,0.026138896122574806,0.9915867447853088,0.03951894864439964
3,0.9949948787689209,0.02311474084854126,0.9950252771377563,0.022357719019055367
4,0.9960070848464966,0.018998613581061363,0.9950863122940063,0.02214454673230648
5,0.9964140057563782,0.017158256843686104,0.9949744343757629,0.022487366572022438
6,0.9966263771057129,0.016062861308455467,0.9949032068252563,0.022703781723976135
7,0.9967738389968872,0.015268267132341862,0.9947302341461182,0.023053331300616264
8,0.9969556927680969,0.014501970261335373,0.9947607517242432,0.023283328860998154
9,0.9971070289611816,0.013834401033818722,0.9943335056304932,0.02473088540136814
